Democrat	Republican	Undecided	Other	Not Voting	poll_slug	survey_house	start_date	end_date	question_text	sample_subpopulation	observations	margin_of_error	mode	partisanship	partisan_affiliation
45.0	46.0				nbc-wsj-21278	NBC/WSJ	2014-10-30	2014-11-01		Likely Voters	826	3.4	Live Phone	Nonpartisan	None
42.0	46.0	9.0	3.0	1.0	huffpost-yougov-21285	HuffPost/YouGov	2014-10-28	2014-10-30		Likely Voters	802	4.1	Internet	Nonpartisan	None
45.0	44.0	7.0	4.0		fox-21158	FOX	2014-10-25	2014-10-27		Likely Voters	734	3.5	Live Phone	Nonpartisan	None
42.0	50.0	4.0	2.0	1.0	cbs-21202	CBS	2014-10-23	2014-10-27		Likely Voters	624	4.0	Live Phone	Nonpartisan	None
47.0	46.0	2.0	4.0	0.0	cnn-21117	CNN	2014-10-24	2014-10-26		Likely Voters	540	4.0	Live Phone	Nonpartisan	None
43.0	42.0	11.0	3.0		usa-today-psrai-21233	USA Today/PSRAI	2014-10-23	2014-10-26		Likely Voters	697	4.3	Live Phone	Nonpartisan	None
44.0	50.0	4.0	1.0	1.0	abc-post-21133	ABC/Post	2014-10-23	2014-10-26		Likely Voters	758	4.0	Live Phone	Nonpartisan	None
41.0	43.0	12.0	4.0		rasmussen-21130	Rasmussen	2014-10-20	2014-10-26		Likely Voters	3500	2.0	IVR/Online	Nonpartisan	None
41.0	52.0	7.0			nbc-wsj-annenberg-21284	NBC/WSJ/Annenberg	2014-10-17	2014-10-23		Likely Voters	823	4.1	Live Phone	Nonpartisan	None
46.0	46.0	6.0	1.0		democracy-corps-d-21021	Democracy Corps (D)	2014-10-16	2014-10-21		Likely Voters	698	3.0	Live Phone	Pollster	Dem
32.0	40.0	15.0	12.0	0.0	ap-gfk-web-21151	AP-GfK (Web)	2014-10-16	2014-10-20		Likely Voters	968		Internet	Nonpartisan	None
47.0	46.0				pew-21003	Pew	2014-10-15	2014-10-20		Likely Voters	1126	3.4	Live Phone	Nonpartisan	None
41.0	41.0	12.0	5.0		rasmussen-20972	Rasmussen	2014-10-14	2014-10-20		Likely Voters	3500	2.0	IVR/Online	Nonpartisan	None
44.0	49.0	7.0			nbc-wsj-annenberg-21283	NBC/WSJ/Annenberg	2014-10-10	2014-10-16		Likely Voters	484	5.42	Live Phone	Nonpartisan	None
42.0	45.0	9.0	3.0		fox-20893	FOX	2014-10-12	2014-10-14		Likely Voters	831	3.0	Live Phone	Nonpartisan	None
43.0	50.0	4.0	1.0	2.0	abc-post-20885	ABC/Post	2014-10-09	2014-10-12		Likely Voters			Live Phone	Nonpartisan	None
47.0	48.0	4.0		1.0	nbc-wsj-20884	NBC/WSJ	2014-10-08	2014-10-12		Likely Voters	666	3.8	Live Phone	Nonpartisan	None
40.0	40.0	15.0	6.0		rasmussen-20859	Rasmussen	2014-10-06	2014-10-12		Likely Voters	3500	2.0	IVR/Online	Nonpartisan	None
48.0	43.0	9.0			nbc-wsj-annenberg-21282	NBC/WSJ/Annenberg	2014-10-03	2014-10-09		Registered Voters	1181	3.42	Live Phone	Nonpartisan	None
43.0	42.0	10.0	5.0	0.0	ipsos-reuters-20764	Ipsos/Reuters	2014-10-03	2014-10-07		Likely Voters	623		Internet	Nonpartisan	None
43.0	49.0	5.0	2.0	1.0	cbs-20777	CBS	2014-10-03	2014-10-06		Likely Voters	575	4.0	Live Phone	Nonpartisan	None
42.0	33.0	12.0	13.0		reason-rupe-20811	Reason/Rupe	2014-10-01	2014-10-06		Registered Voters			Live Phone	Nonpartisan	None
41.0	39.0	15.0	5.0		rasmussen-20788	Rasmussen	2014-09-30	2014-10-05		Likely Voters	3500	2.0	IVR/Online	Nonpartisan	None
46.0	43.0	12.0			nbc-wsj-annenberg-21281	NBC/WSJ/Annenberg	2014-09-26	2014-10-02		Registered Voters	1181	3.42	Live Phone	Nonpartisan	None
40.0	47.0	11.0	3.0		fox-20662	FOX	2014-09-28	2014-09-30		Likely Voters	845	3.0	Live Phone	Nonpartisan	None
46.0	47.0	7.0			gallup-20813	Gallup	2014-09-25	2014-09-30		Registered Voters	1252	3.0	Live Phone	Nonpartisan	None
33.0	33.0	25.0	10.0	0.0	ap-gfk-web-20659	AP-GfK (Web)	2014-09-25	2014-09-29		Likely Voters	958	3.5	Internet	Nonpartisan	None
45.0	44.0	11.0			mcclatchy-marist-20686	McClatchy/Marist	2014-09-24	2014-09-29		Registered Voters	884	3.3	Live Phone	Nonpartisan	None
47.0	45.0	3.0	4.0		cnn-20624	CNN	2014-09-25	2014-09-28		Likely Voters	701	3.5	Live Phone	Nonpartisan	None
40.0	39.0	16.0	5.0		rasmussen-20654	Rasmussen	2014-09-22	2014-09-28		Likely Voters	3500	2.0	IVR/Online	Nonpartisan	None
47.0	42.0	11.0			nbc-wsj-annenberg-21280	NBC/WSJ/Annenberg	2014-09-19	2014-09-25		Registered Voters	1283	3.15	Live Phone	Nonpartisan	None
40.0	40.0	16.0	4.0		rasmussen-20543	Rasmussen	2014-09-15	2014-09-21		Likely Voters	3500	2.0	IVR/Online	Nonpartisan	None
46.0	42.0	12.0			nbc-wsj-annenberg-21279	NBC/WSJ/Annenberg	2014-09-14	2014-09-18		Registered Voters	815	4.31	Live Phone	Nonpartisan	None
42.0	49.0	5.0	3.0	1.0	cbs-times-20473	CBS/Times	2014-09-12	2014-09-15		Likely Voters	470	4.0	Live Phone	Nonpartisan	None
41.0	38.0	14.0	6.0		rasmussen-20438	Rasmussen	2014-09-08	2014-09-14		Likely Voters	3500	2.0	IVR/Online	Nonpartisan	None
40.0	47.0	9.0	4.0		fox-20375	FOX	2014-09-07	2014-09-09		Likely Voters	833	3.0	Live Phone	Nonpartisan	None
44.0	47.0	8.0			pew-20410	Pew	2014-09-02	2014-09-09		Likely Voters	1150	3.3	Live Phone	Nonpartisan	None
45.0	49.0	1.0	4.0	1.0	cnn-20354	CNN	2014-09-05	2014-09-07		Likely Voters			Live Phone	Nonpartisan	None
46.0	44.0	4.0	1.0	5.0	abc-post-20348	ABC/Post	2014-09-04	2014-09-07		Registered Voters	888		Live Phone	Nonpartisan	None
43.0	45.0	12.0			nbc-wsj-20356	NBC/WSJ	2014-09-03	2014-09-07		Registered Voters	1000	3.1	Live Phone	Nonpartisan	None
39.0	41.0	15.0	5.0		rasmussen-20338	Rasmussen	2014-09-01	2014-09-07		Likely Voters	3500	2.0	IVR/Online	Nonpartisan	None
40.0	41.0	14.0	6.0		rasmussen-20336	Rasmussen	2014-08-25	2014-08-31		Likely Voters	3500	2.0	IVR/Online	Nonpartisan	None
42.0	46.0	12.0			gwu-battleground-20260	GWU/Battleground	2014-08-24	2014-08-28		Likely Voters	1000	3.1	Live Phone	Nonpartisan	None
47.0	42.0	11.0			pew-usa-today-20209	Pew/USA Today	2014-08-20	2014-08-24		Registered Voters	1501	2.9	Live Phone	Nonpartisan	None
39.0	40.0	16.0	5.0		rasmussen-20201	Rasmussen	2014-08-18	2014-08-24		Likely Voters	3500	2.0	IVR/Online	Nonpartisan	None
39.0	39.0	16.0	6.0		rasmussen-20137	Rasmussen	2014-08-11	2014-08-17		Likely Voters	3500	2.0	IVR/Online	Nonpartisan	None
46.0	39.0	12.0	3.0		fox-20110	FOX	2014-08-10	2014-08-12		Registered Voters	1001	3.0	Live Phone	Nonpartisan	None
42.0	41.0	17.0			reason-rupe-20114	Reason/Rupe	2014-08-06	2014-08-10		Likely Voters			Live Phone	Nonpartisan	None
39.0	40.0	15.0	6.0		rasmussen-20092	Rasmussen	2014-08-04	2014-08-10		Likely Voters	3500	2.0	IVR/Online	Nonpartisan	None
38.0	43.0	18.0			mcclatchy-marist-20095	McClatchy/Marist	2014-08-04	2014-08-07		Registered Voters	806	3.5	Live Phone	Nonpartisan	None
41.0	37.0	17.0	3.0	2.0	cbs-20059	CBS	2014-07-29	2014-08-04		Registered Voters			Live Phone	Nonpartisan	None
43.0	44.0	13.0			nbc-wsj-20051	NBC/WSJ	2014-07-30	2014-08-03		Registered Voters			Live Phone	Nonpartisan	None
38.0	42.0	16.0	5.0		rasmussen-20042	Rasmussen	2014-07-28	2014-08-03		Likely Voters	3500	2.0	IVR/Online	Nonpartisan	None
33.0	33.0	33.0			ap-gfk-web-20024	AP-GfK (Web)	2014-07-24	2014-07-28		Adults	1044	3.4	Internet	Nonpartisan	None
41.0	39.0	16.0	5.0		rasmussen-19964	Rasmussen	2014-07-21	2014-07-27		Likely Voters	3500	2.0	IVR/Online	Nonpartisan	None
43.0	41.0	13.0	3.0		fox-19979	FOX	2014-07-20	2014-07-22		Registered Voters	1057	3.0	Live Phone	Nonpartisan	None
48.0	44.0	2.0	5.0	1.0	cnn-19958	CNN	2014-07-18	2014-07-20		Registered Voters			Live Phone	Nonpartisan	None
39.0	39.0	17.0	5.0		rasmussen-19893	Rasmussen	2014-07-14	2014-07-20		Likely Voters	3500	2.0	IVR/Online	Nonpartisan	None
47.0	45.0	9.0			pew-19916	Pew	2014-07-08	2014-07-14		Registered Voters	1420	3.0	Live Phone	Nonpartisan	None
39.0	38.0	16.0	7.0		rasmussen-19849	Rasmussen	2014-07-07	2014-07-13		Likely Voters	3500	2.0	IVR/Online	Nonpartisan	None
41.0	38.0	15.0	7.0		rasmussen-19804	Rasmussen	2014-06-30	2014-07-06		Likely Voters	3500	2.0	IVR/Online	Nonpartisan	None
41.0	39.0	17.0	2.0	2.0	quinnipiac-19810	Quinnipiac	2014-06-24	2014-06-30		Registered Voters	1446	2.6	Live Phone	Nonpartisan	None
40.0	38.0	16.0	5.0		rasmussen-19776	Rasmussen	2014-06-23	2014-06-29		Likely Voters	3500	2.0	IVR/Online	Nonpartisan	None
42.0	42.0	13.0	2.0		fox-19751	FOX	2014-06-21	2014-06-23		Registered Voters	1018	3.0	Live Phone	Nonpartisan	None
42.0	39.0	16.0	2.0	1.0	cbs-times-19740	CBS/Times	2014-06-20	2014-06-22		Registered Voters			Live Phone	Nonpartisan	None
40.0	38.0	16.0	6.0		rasmussen-19736	Rasmussen	2014-06-16	2014-06-22		Likely Voters	3500	2.0	IVR/Online	Nonpartisan	None
45.0	43.0	12.0			nbc-wsj-19698	NBC/WSJ	2014-06-11	2014-06-15		Registered Voters			Live Phone	Nonpartisan	None
39.0	37.0	17.0	7.0		rasmussen-19688	Rasmussen	2014-06-09	2014-06-15		Likely Voters	3500	2.0	IVR/Online	Nonpartisan	None
43.0	43.0	11.0	3.0		bloomberg-19630	Bloomberg	2014-06-06	2014-06-09		Likely Voters	763		Live Phone	Nonpartisan	None
41.0	37.0	16.0	5.0		rasmussen-19637	Rasmussen	2014-06-02	2014-06-08		Likely Voters	3500	2.0	IVR/Online	Nonpartisan	None
39.0	43.0	15.0	3.0		fox-19584	FOX	2014-06-01	2014-06-03		Registered Voters	1006	3.0	Live Phone	Nonpartisan	None
47.0	45.0	4.0	1.0	4.0	abc-post-19573	ABC/Post	2014-05-29	2014-06-01		Registered Voters			Live Phone	Nonpartisan	None
41.0	38.0	16.0	6.0		rasmussen-19578	Rasmussen	2014-05-26	2014-06-01		Likely Voters	3500	2.0	IVR/Online	Nonpartisan	None
42.0	38.0	15.0	5.0		rasmussen-19549	Rasmussen	2014-05-19	2014-05-25		Likely Voters	3500	2.0	IVR/Online	Nonpartisan	None
37.0	31.0	32.0			ap-gfk-web-19533	AP-GfK (Web)	2014-05-16	2014-05-19		Adults	1354	3.0	Internet	Nonpartisan	None
40.0	39.0	16.0	2.0	2.0	cbs-19515	CBS	2014-05-16	2014-05-19		Registered Voters			Live Phone	Nonpartisan	None
41.0	37.0	15.0	6.0		rasmussen-19481	Rasmussen	2014-05-12	2014-05-18		Likely Voters	3500	2.0	IVR/Online	Nonpartisan	None
43.0	40.0	13.0	4.0		fox-19450	FOX	2014-05-10	2014-05-13		Registered Voters	1025	3.0	Live Phone	Nonpartisan	None
40.0	38.0	15.0	6.0		rasmussen-19419	Rasmussen	2014-05-05	2014-05-10		Likely Voters	3500	2.0	IVR/Online	Nonpartisan	None
45.0	46.0	1.0	5.0	3.0	cnn-19384	CNN	2014-05-02	2014-05-04		Registered Voters	911	3.5	Live Phone	Nonpartisan	None
41.0	37.0				rasmussen-19382	Rasmussen	2014-04-28	2014-05-04		Likely Voters	3500	2.0	IVR/Online	Nonpartisan	None
45.0	44.0	7.0	1.0	3.0	abc-post-19341	ABC/Post	2014-04-24	2014-04-27		Registered Voters			Live Phone	Nonpartisan	None
43.0	47.0	9.0			pew-usa-today-19377	Pew/USA Today	2014-04-23	2014-04-27		Registered Voters	1162	3.3	Live Phone	Nonpartisan	None
45.0	45.0	10.0			nbc-wsj-19357	NBC/WSJ	2014-04-23	2014-04-27		Registered Voters			Live Phone	Nonpartisan	None
38.0	40.0	16.0	6.0		rasmussen-19329	Rasmussen	2014-04-21	2014-04-27		Likely Voters	3500	2.0	IVR/Online	Nonpartisan	None
40.0	41.0	15.0	5.0		rasmussen-19289	Rasmussen	2014-04-14	2014-04-20		Likely Voters	3500	2.0	IVR/Online	Nonpartisan	None
41.0	44.0	13.0	3.0		fox-19256	FOX	2014-04-13	2014-04-15		Registered Voters	1012	3.0	Live Phone	Nonpartisan	None
40.0	38.0	16.0	6.0		rasmussen-19248	Rasmussen	2014-04-07	2014-04-13		Likely Voters	3500	2.0	IVR/Online	Nonpartisan	None
48.0	42.0	10.0			mcclatchy-marist-19252	McClatchy/Marist	2014-04-07	2014-04-10		Registered Voters	1036	3.0	Live Phone	Nonpartisan	None
40.0	39.0				rasmussen-19215	Rasmussen	2014-03-31	2014-04-06		Likely Voters	3500	2.0	IVR/Online	Nonpartisan	None
40.0	38.0	18.0	2.0	2.0	quinnipiac-19163	Quinnipiac	2014-03-26	2014-03-31		Registered Voters	1578	2.5	Live Phone	Nonpartisan	None
40.0	36.0	16.0	8.0		reason-rupe-19173	Reason/Rupe	2014-03-26	2014-03-30		Adults	1003	3.6	Live Phone	Nonpartisan	None
39.0	38.0	16.0	7.0		rasmussen-19165	Rasmussen	2014-03-24	2014-03-30		Likely Voters	3500	2.0	IVR/Online	Nonpartisan	None
36.0	37.0	27.0			ap-gfk-web-19137	AP-GfK (Web)	2014-03-20	2014-03-24		Adults	1012	3.4	Internet	Nonpartisan	None
39.0	39.0	17.0	3.0	2.0	cbs-19133	CBS	2014-03-20	2014-03-23		Registered Voters			Live Phone	Nonpartisan	None
44.0	43.0	10.0	2.0	0.0	npr-19172	NPR	2014-03-19	2014-03-23		Likely Voters	840	3.18	Live Phone	Pollster	Dem
41.0	37.0	16.0	6.0		rasmussen-19129	Rasmussen	2014-03-17	2014-03-23		Likely Voters	3500	2.0	IVR/Online	Nonpartisan	None
43.0	43.0	14.0			gwu-battleground-19123	GWU/Battleground	2014-03-16	2014-03-20		Likely Voters	1000	3.1	Live Phone	Nonpartisan	None
38.0	39.0	16.0	7.0		rasmussen-19071	Rasmussen	2014-03-10	2014-03-16		Likely Voters	3500	2.0	IVR/Online	Nonpartisan	None
43.0	41.0	17.0			mclaughlin-r-19061	McLaughlin (R)	2014-03-09	2014-03-12		Likely Voters	1000	3.1	Internet	Pollster	Rep
43.0	40.0	17.0			ppp-d-19020	PPP (D)	2014-03-06	2014-03-09		Likely Voters	1152	2.9	Automated Phone	Pollster	Dem
43.0	44.0	13.0			nbc-wsj-19029	NBC/WSJ	2014-03-05	2014-03-09		Registered Voters			Live Phone	Nonpartisan	None
39.0	39.0	16.0	6.0		rasmussen-19012	Rasmussen	2014-03-03	2014-03-09		Likely Voters	3500	2.0	IVR/Online	Nonpartisan	None
40.0	38.0	14.0	8.0		fox-18972	FOX	2014-03-02	2014-03-04		Registered Voters	1002	3.0	Live Phone	Nonpartisan	None
46.0	45.0	5.0	1.0	3.0	abc-post-18957	ABC/Post	2014-02-27	2014-03-02		Registered Voters			Live Phone	Nonpartisan	None
39.0	36.0				rasmussen-18953	Rasmussen	2014-02-24	2014-03-02		Likely Voters	3500	2.0	IVR/Online	Nonpartisan	None
36.0	35.0	19.0	3.0	8.0	yougov-economist-18940	YouGov/Economist	2014-02-22	2014-02-24		Adults	1000	4.1	Internet	Nonpartisan	None
39.0	42.0	15.0	3.0	3.0	cbs-times-18937	CBS/Times	2014-02-19	2014-02-23		Registered Voters			Live Phone	Nonpartisan	None
41.0	37.0	16.0	6.0		rasmussen-18913	Rasmussen	2014-02-17	2014-02-23		Likely Voters	3500	2.0	IVR/Online	Nonpartisan	None
34.0	27.0	25.0	5.0	10.0	yougov-economist-18876	YouGov/Economist	2014-02-15	2014-02-17		Adults	1000	4.2	Internet	Nonpartisan	None
41.0	37.0				rasmussen-18868	Rasmussen	2014-02-10	2014-02-16		Likely Voters	3500	2.0	IVR/Online	Nonpartisan	None
41.0	41.0	19.0			mclaughlin-r-19060	McLaughlin (R)	2014-02-06	2014-02-12		Likely Voters	1000	3.1	Internet	Pollster	Rep
38.0	28.0	21.0	4.0	9.0	yougov-economist-18916	YouGov/Economist	2014-02-08	2014-02-10		Adults	1000	4.0	Internet	Nonpartisan	None
46.0	44.0	9.0			mcclatchy-marist-18837	McClatchy/Marist	2014-02-04	2014-02-09		Registered Voters	970	3.1	Live Phone	Nonpartisan	None
40.0	38.0	16.0	6.0		rasmussen-18841	Rasmussen	2014-02-03	2014-02-09		Likely Voters	3500	2.0	IVR/Online	Nonpartisan	None
35.0	29.0	22.0	3.0	12.0	yougov-economist-18799	YouGov/Economist	2014-02-01	2014-02-03		Adults	1000	4.0	Internet	Nonpartisan	None
39.0	40.0	16.0	5.0		rasmussen-18794	Rasmussen	2014-01-27	2014-02-02		Likely Voters	3500	2.0	IVR/Online	Nonpartisan	None
39.0	27.0	21.0	5.0	8.0	yougov-economist-18746	YouGov/Economist	2014-01-25	2014-01-27		Adults	1000	3.9	Internet	Nonpartisan	None
40.0	42.0	18.0			ppp-d-18736	PPP (D)	2014-01-23	2014-01-26		Likely Voters	845	3.4	Automated Phone	Pollster	Dem
42.0	37.0	15.0	6.0		rasmussen-18743	Rasmussen	2014-01-20	2014-01-26		Likely Voters	3500	2.0	IVR/Online	Nonpartisan	None
45.0	43.0	12.0			nbc-wsj-18737	NBC/WSJ	2014-01-22	2014-01-25		Registered Voters			Live Phone	Nonpartisan	None
41.0	43.0	13.0	4.0		fox-18712	FOX	2014-01-19	2014-01-21		Registered Voters	1010	3.0	Live Phone	Nonpartisan	None
39.0	32.0	30.0			ap-gfk-web-18725	AP-GfK (Web)	2014-01-17	2014-01-21		Adults	1060	3.9	Internet	Nonpartisan	None
